,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Rrp7a,74.9,45.54,47.43,89.35,79.28,57.13,58.71,82.94,48.9,74.25,67.15,71.77
Cyb5r3,138.77,73.28,78.59,161.84,165.88,224.92,104.23,131.79,77.54,148.01,127.25,94.69
Ints2,26.4,18.87,12.91,25.6,10.17,17.47,27.22,25.66,17.01,24.27,13.47,19.26
Med13l,22.56,12.61,7.51,15.03,6.94,10.3,13.5,17.47,5.93,10.73,9.41,8.36
Hist1h2bc,16.61,12.23,8.37,5.87,9.01,7.09,5.64,15.58,19.18,25.26,22.47,20.44
Baiap2l2,1.12,0.54,0.03,0.05,0.35,0.02,0.14,0.67,0.23,0,0.07,0.04
Mafk,4.04,2.59,2.95,4.59,3.69,4.34,4.44,5.52,9.85,11.75,9.63,10.52
Med1,35.04,17.9,18.25,39.44,27.24,34.68,34.86,32.66,21.83,38.84,33.83,35.15
Erbb3,3.7,2.1,1.85,3.26,1.07,1.57,1.55,4.43,9.44,13.97,11.37,11.93
Stard3,11.47,9.05,8.68,13.87,12.14,10.37,10.84,15.63,8.42,11.46,7.83,9.82
Ikzf3,0.16,0.02,0,0.03,0,0.01,0.07,0.01,0.02,0.02,0.04,0.05
Mfng,2.75,2.09,1.39,1.88,1.78,1.51,1.26,3.46,1.95,2.69,1.35,1.62
Vmp1,35.08,45.88,32.55,51.8,40.66,42.18,65.63,47.79,39.17,35.29,51.32,46.39
Uchl5,60.41,42.74,46.95,63.51,68.04,65.85,55.12,69.63,55.41,68.59,34.19,51
Glrx2,80.23,52.51,80.3,143.06,174.77,90.04,63.54,100.45,86.57,122.05,141.86,125.07
Trove2,19.26,10.63,7.24,12.65,5.23,8.39,10.88,15.29,5.74,10.98,6.97,8.42
Stk4,26.15,21,17.77,33.86,22.7,31.82,35.58,24.1,22.52,37.27,39.04,42.06
Wfdc15b,4.35,1.88,0.14,0,0.32,0,0,1.64,0,0,0,0.08
Pmp22,48.32,33.92,27.64,34.8,36.4,34.47,30.79,44.11,21.36,37.29,38.49,37.53
Gdf9,0.34,0.5,0.27,0.25,0.99,0.35,0.67,0.46,0.11,0.32,0.13,0.1
Zcchc10,16.52,9.28,12.16,24.11,23.44,21.37,17.67,19.15,19.88,27.54,22.7,22.5
Prl8a2,0.12,0,0,0,0.04,0,0,0,0,0,0.19,0
Tbx5,0.08,0.01,0,0.03,0,0.02,0.03,0.09,0,0,0,0
Psmb6,236.39,178.3,234.37,282.89,388.06,275.59,266.78,302.02,257.99,274.65,254.37,265
Spag7,108.94,75.5,113.33,108.82,119.88,100.69,125.86,123.84,98.57,107.81,85.35,152.33
Pfn1,275.83,160.92,176.97,229.77,231.61,183.33,181.1,375.36,197.32,323.09,149.92,225.65
Tomm34,40.17,25.51,33.73,47.13,37.54,37.23,36.24,46.14,34.37,45.72,58.62,39.99
Ywhab,178.33,135.24,121.6,159.55,121.44,98.95,142.78,210.72,136.64,167.63,140.1,152.93
Ksr1,5.77,4.01,3.11,5.61,3.54,4.76,4.34,5.13,2.53,4.57,3.77,3.69
Gpx3,30.27,20.96,13,13.12,18.56,17.87,12.87,28.1,25,35.35,23.5,21
Anxa6,95.7,86.22,91.62,117.81,102.13,86.45,104.01,108.29,93.85,112.71,96.36,98.74
Il12rb2,2.77,1.72,0.8,1.81,0.82,1.26,1.96,2.87,1.31,1.64,1.22,1.51
Zkscan6,8.37,5.92,5.98,9.46,9.27,9.14,8.54,8.81,6.21,7.03,9.04,8.58
Kpna2,147.99,124.87,141.47,278.44,194.81,124.23,196.62,176.27,191.25,273.67,228.63,290.4
Smurf2,32.41,23.45,16.37,37.83,14.77,41.06,45.16,30.42,18.22,29.05,26.51,29.44
Cep95,28.93,22.01,19.51,27.21,16.67,19.85,20.21,33.28,18.57,29.32,29.64,23.99
Vezf1,30.25,20.41,15.17,23.25,16.37,21.85,21.37,30.37,16.24,24.22,17.19,18.43
Cuedc1,5.59,3.18,2.99,4.82,4.44,3.26,4.31,8.78,3.61,4.99,3.49,3.43
Srsf1,259.36,162.57,196.97,250.97,212.99,157.58,224.5,313.68,190.26,240.98,127.8,195.54
Abi3,2.84,1.48,1.49,1,1.07,0.81,1.02,2.85,1.02,1.87,1.19,1.9
Shroom1,0.9,0.62,0.78,1.63,1.49,1.41,1.28,1.27,0.48,0.92,0.45,0.47
Kif3a,40.77,30.4,30.27,59.83,34.81,49.1,50.92,43.92,29.52,35.78,45.69,36.25
Sept8,40.04,22.07,17.28,35.32,15.79,29.02,37.75,38.47,26.26,38.35,36.04,28.79
