"","x"
"902","Kdf1"
"903","Kdr"
"904","Kifap3"
"905","Kin"
"906","Kit"
"907","Klc1"
"908","Klf2"
"909","Klhdc10"
"910","Klhl13"
"911","Klk8"
"912","Kptn"
"913","Krt14"
"914","Lactb"
"915","Lama2"
"916","Lamc1"
"917","Lancl1"
"918","Laptm4b"
"919","Leng9"
"920","Letmd1"
"921","Lhfpl2"
"922","Limd2"
"923","Lix1l"
"924","Lrfn5"
"925","Lrrc4"
"926","Lrrcc1"
"927","Lrrn4"
"928","Ltbp4"
"929","Ly6h"
"930","Lysmd4"
"931","Lztr1"
"932","Macrod1"
"933","Macroh2a2"
"934","Mad1l1"
"935","Man2a1"
"936","Mansc4"
"937","Maob"
"938","Map10"
"939","Map2k3"
"940","Map2k4"
"941","Map3k10"
"942","Map4k1"
"943","Map4k5"
"944","Mapk14"
"945","Mapkap1"
"946","Mblac1"
"947","Mcat"
"948","Mdfic"
"949","Meis3"
"950","Metap1d"
"951","Mettl7a1"
"952","Mfap2"
"953","Mfap4"
"954","Mfsd4b4"
"955","Mfsd5"
"956","Micall2"
"957","Miga1"
"958","Mindy4"
"959","Mipep"
"960","Mkrn1"
"961","Mlycd"
"962","Mmp23"
"963","Mmp28"
"964","Mocs3"
"965","Morc4"
"966","Mpdz"
"967","Mpg"
"968","Mplkip"
"969","Mpnd"
"970","Mpzl1"
"971","Mrln"
"972","Mrpl23"
"973","Mthfd2l"
"974","Mtmr11"
"975","Mtmr7"
"976","Mvk"
"977","Mxd3"
"978","Mxd4"
"979","Mxra8"
"980","Mycbpap"
"981","Myl6b"
"982","Nadk2"
"983","Nap1l1"
"984","Nap1l3"
"985","Ncald"
"986","Ncoa5"
"987","Ndn"
"988","Ndrg1"
"989","Nedd1"
"990","Nek8"
"991","Neo1"
"992","Nfat5"
"993","Nfib"
"994","Nfkbie"
"995","Nkap"
"996","Nmrk1"
"997","Nop53"
"998","Nox4"
"999","Npdc1"
"1000","Nqo1"
"1001","Nradd"
"1002","Nrcam"
"1003","Nrxn2"
"1004","Nsmaf"
"1005","Nsmce4a"
"1006","Ntan1"
"1007","Ntn3"
"1008","Nudt22"
"1009","Nxt1"
"1010","Ophn1"
"1011","Orai3"
"1012","Oscp1"
"1013","Osgin2"
"1014","Otub2"
"1015","Oxld1"
"1016","Oxnad1"
"1017","Pacs2"
"1018","Pacsin2"
"1019","Pagr1a"
"1020","Pak6"
"1021","Palm"
"1022","Pam16l"
"1023","Paox"
"1024","Pard3"
"1025","Pard6g"
"1026","Parva"
"1027","Pbx1"
"1028","Pcgf6"
"1029","Pck2"
"1030","Pcnx4"
"1031","Pcsk4"
"1032","Pcyt1a"
"1033","Pde4dip"
"1034","Pex11g"
"1035","Pglyrp1"
"1036","Phc1"
"1037","Phc2"
"1038","Phf21a"
"1039","Phtf1"
"1040","Pi4ka"
"1041","Pip4p1"
"1042","Pkdcc"
"1043","Platr25"
"1044","Plbd1"
"1045","Plcb4"
"1046","Plcd3"
"1047","Pld2"
"1048","Plekhn1"
"1049","Plpp2"
"1050","Plpp7"
"1051","Plscr3"
"1052","Pmvk"
"1053","Pnkp"
"1054","Pnrc1"
"1055","Polr1e"
"1056","Ppox"
"1057","Ppp1r14b"
"1058","Ppp1r1a"
"1059","Ppp1r21"
"1060","Ppp1r35"
"1061","Praf2"
"1062","Prag1"
"1063","Prkab2"
"1064","Prkar2b"
"1065","Prkd1"
"1066","Prmt6"
"1067","Prmt9"
"1068","Prr5"
"1069","Prrx2"
"1070","Prss36"
"1071","Prss8"
"1072","Psd3"
"1073","Ptar1"
"1074","Ptch2"
"1075","Ptges2"
"1076","Ptges3l"
"1077","Ptn"
"1078","Ptov1"
"1079","Ptp4a1"
"1080","Ptpn9"
"1081","Ptprk"
"1082","Ptrh1"
"1083","Pxk"
"1084","Pxmp4"
"1085","Pycr1"
"1086","Pygb"
"1087","Qprt"
"1088","R3hcc1"
"1089","Rab2a"
"1090","Rab5a"
"1091","Rac3"
"1092","Raly"
"1093","Rbm24"
"1094","Rbp1"
"1095","Rbpms"
"1096","Rcsd1"
"1097","Rdh5"
"1098","Reck"
"1099","Reep5"
"1100","Reps1"
"1101","Retreg2"
"1102","Retsat"
"1103","Rfc1"
"1104","Rfng"
"1105","Rftn2"
"1106","Rgl1"
"1107","Rgl3"
"1108","Rgs12"
"1109","Rgs3"
"1110","Rhob"
"1111","Ripk1"
"1112","Ripk2"
"1113","Ripk3"
"1114","Rlf"
"1115","Rmnd5a"
"1116","Rnase4"
"1117","Rnasel"
"1118","Rnaset2a"
"1119","Rnaset2b"
"1120","Rnf115"
"1121","Rnf128"
"1122","Rnf138rt1"
"1123","Rnf187"
"1124","Rnf215"
"1125","Rnf8"
"1126","Rnft1"
"1127","Rnpepl1"
"1128","Rom1"
"1129","Ropn1l"
"1130","Rpgrip1l"
"1131","Rpp25"
"1132","Rpp25l"
"1133","Rps6ka5"
"1134","Rpusd3"
"1135","Rpusd4"
"1136","Rras2"
"1137","Rsad1"
"1138","Rtl8b"
"1139","Rtn4"
"1140","Rufy1"
"1141","Rxfp2"
"1142","Sap30"
"1143","Sardh"
"1144","Sc5d"
"1145","Scand1"
"1146","Scara3"
"1147","Scarf2"
"1148","Scmh1"
"1149","Scn8a"
"1150","Scoc"
"1151","Scyl2"
"1152","Sdc2"
"1153","Sec22c"
"1154","Selenbp2"
"1155","Selenon"
"1156","Selenoo"
"1157","Sema4g"
"1158","Septin1"
"1159","Septin4"
"1160","Serpinb6b"
"1161","Sesn3"
"1162","Sestd1"
"1163","Sfxn1"
"1164","Sfxn4"
"1165","Sgpl1"
"1166","Sh2d3c"
"1167","Sh3glb2"
"1168","Shisa4"
"1169","Shq1"
"1170","Siah2"
"1171","Sirt2"
"1172","Slc16a13"
"1173","Slc17a5"
"1174","Slc1a3"
"1175","Slc22a5"
"1176","Slc23a2"
"1177","Slc25a29"
"1178","Slc25a33"
"1179","Slc25a38"
"1180","Slc25a47"
"1181","Slc26a6"
"1182","Slc36a4"
"1183","Slc43a3"
"1184","Slc46a1"
"1185","Slc7a7"
"1186","Smad3"
"1187","Smim19"
"1188","Smim29"
"1189","Smim30"
"1190","Snai2"
"1191","Sncaip"
"1192","Sncg"
"1193","Sned1"
"1194","Snf8"
"1195","Snhg4"
"1196","Snx29"
"1197","Snx6"
"1198","Sox4"
