"","x"
"621","Dffa"
"622","Dgat1"
"623","Dgat2"
"624","Dgkz"
"625","Dhrs3"
"626","Dhrs4"
"627","Dhrs7"
"628","Dhx29"
"629","Dipk1a"
"630","Dipk1b"
"631","Dixdc1"
"632","Dkk3"
"633","Dlc1"
"634","Dlg1"
"635","Dlg4"
"636","Dlg5"
"637","Dlgap4"
"638","Dlk1"
"639","Dll3"
"640","Dmpk"
"641","Dmtn"
"642","Dmxl2"
"643","Dnah1"
"644","Dnaja1"
"645","Dnajb1"
"646","Dnajb3"
"647","Dnajb6"
"648","Dnajc10"
"649","Dnajc18"
"650","Dnajc19"
"651","Dnal1"
"652","Dnase2a"
"653","Dnm3"
"654","Dnph1"
"655","Doc2b"
"656","Dock1"
"657","Dock11"
"658","Dock2"
"659","Dock4"
"660","Dock9"
"661","Dpf3"
"662","Dph7"
"663","Dpm3"
"664","Dpp4"
"665","Dppa5a"
"666","Dpysl2"
"667","Dpysl3"
"668","Drp2"
"669","Dsc2"
"670","Dse"
"671","Dtd2"
"672","Dtnbp1"
"673","Dusp1"
"674","Dusp18"
"675","Dusp22"
"676","Dusp28"
"677","Dusp3"
"678","Dusp5"
"679","Dvl3"
"680","Dynlt2b"
"681","Dzip1"
"682","E130308A19Rik"
"683","E2f4"
"684","E2f5"
"685","Eaf1"
"686","Eaf2"
"687","Ecel1"
"688","Echdc3"
"689","Echs1"
"690","Ecrg4"
"691","Ecscr"
"692","Edem1"
"693","Edem3"
"694","Edil3"
"695","Edn2"
"696","Edn3"
"697","Ednra"
"698","Eea1"
"699","Efcab1"
"700","Efna1"
"701","Efna3"
"702","Efna5"
"703","Efnb1"
"704","Efnb2"
"705","Efnb3"
"706","Egfl6"
"707","Egfl7"
"708","Egfr"
"709","Ehbp1l1"
"710","Ehd2"
"711","Ehd3"
"712","Ehhadh"
"713","Ei24"
"714","Eif2ak1"
"715","Eif3b"
"716","Eif4e3"
"717","Elf1"
"718","Elfn1"
"719","Elmod3"
"720","Eln"
"721","Eloa"
"722","Elovl2"
"723","Elovl4"
"724","Elovl5"
"725","Emc6"
