"","x"
"828","Fam221a"
"829","Fam222b"
"830","Fam241a"
"831","Fam53c"
"832","Fam76b"
"833","Fam98a"
"834","Fanca"
"835","Fancc"
"836","Fancd2"
"837","Fance"
"838","Fancg"
"839","Fanci"
"840","Fancm"
"841","Farp1"
"842","Farsa"
"843","Fasn"
"844","Fastk"
"845","Fbf1"
"846","Fbl"
"847","Fbln2"
"848","Fbxl19"
"849","Fbxl4"
"850","Fbxo10"
"851","Fbxo17"
"852","Fbxo30"
"853","Fbxo42"
"854","Fbxo5"
"855","Fbxo7"
"856","Fbxw11"
"857","Fbxw17"
"858","Fbxw5"
"859","Fcho1"
"860","Fchsd1"
"861","Fchsd2"
"862","Fcsk"
"863","Fdx2"
"864","Fdxr"
"865","Fem1a"
"866","Fen1"
"867","Fer1l4"
"868","Fetub"
"869","Fez2"
"870","Fgf9"
"871","Fhdc1"
"872","Fhip1b"
"873","Fhip2b"
"874","Fhl2"
"875","Fign"
"876","Fignl1"
"877","Fiz1"
"878","Fkbp10"
"879","Fkbp5"
"880","Fkbp8"
"881","Fkbp9"
"882","Fkrp"
"883","Fli1"
"884","Flna"
"885","Flnb"
"886","Flrt1"
"887","Fnbp1l"
"888","Fnbp4"
"889","Fndc3c1"
"890","Folr1"
"891","Folr2"
"892","Foxc2"
"893","Foxj3"
"894","Foxm1"
"895","Foxo4"
"896","Foxp4"
"897","Foxq1"
"898","Frmd4a"
"899","Frmd4b"
"900","Frmd8"
"901","Frmpd1"
"902","Frrs1"
"903","Frs2"
"904","Frzb"
"905","Fscn1"
"906","Fstl4"
"907","Fubp1"
"908","Fuca1"
"909","Fus"
"910","Fut4"
"911","Fxr2"
"912","Fzd7"
"913","Fzd9"
"914","Fzr1"
"915","G3bp1"
"916","G6pdx"
"917","Gaa"
"918","Gab2"
"919","Gab3"
"920","Gabbr1"
"921","Gabpb1"
"922","Gabpb2"
"923","Gabra1"
"924","Gadd45a"
"925","Gadd45b"
"926","Gadd45gip1"
"927","Gak"
"928","Galnt10"
"929","Galnt18"
"930","Galnt2"
"931","Gamt"
"932","Ganc"
"933","Gapdh"
"934","Garre1"
"935","Gars"
"936","Gart"
"937","Gas2l3"
"938","Gask1a"
"939","Gata2"
"940","Gata4"
