"","x"
"959","Egfr"
"960","Egln1"
"961","Egln2"
"962","Ehbp1l1"
"963","Ehd1"
"964","Ehd2"
"965","Ehd3"
"966","Ehmt2"
"967","Eid2"
"968","Eid2b"
"969","Eif2ak2"
"970","Eif2b3"
"971","Eif2b5"
"972","Eif3b"
"973","Eif3f"
"974","Eif5b"
"975","Elavl4"
"976","Elf1"
"977","Elfn1"
"978","Elof1"
"979","Elovl1"
"980","Elovl2"
"981","Elovl4"
"982","Emb"
"983","Emc2"
"984","Emc9"
"985","Emd"
"986","Emg1"
"987","Emid1"
"988","Emilin1"
"989","Emilin2"
"990","Eml1"
"991","Eml4"
"992","Eml5"
"993","Emp1"
"994","Emp2"
"995","Emp3"
"996","Emx2"
"997","Endog"
"998","Engase"
"999","Enox1"
"1000","Enox2"
"1001","Enpp2"
"1002","Entpd7"
"1003","Entrep3"
"1004","Eola1"
"1005","Epb41l3"
"1006","Epb42"
"1007","Epha3"
"1008","Ephb1"
"1009","Ephb2"
"1010","Ephx1"
"1011","Ephx2"
"1012","Epor"
"1013","Epx"
"1014","Erbb2"
"1015","Ereg"
"1016","Eri3"
"1017","Ermap"
"1018","Ermard"
"1019","Ermp1"
"1020","Ern1"
"1021","Errfi1"
"1022","Esr1"
"1023","Esyt1"
"1024","Etfa"
"1025","Etfbkmt"
"1026","Etnk1"
"1027","Ets1"
"1028","Etv3"
"1029","Etv6"
"1030","Eva1a"
"1031","Eva1b"
"1032","Evc2"
"1033","Evi2a"
"1034","Exoc3l"
"1035","Exoc3l4"
"1036","Exosc1"
"1037","Exosc7"
"1038","Ext1"
"1039","F11r"
"1040","F13a1"
"1041","F2rl1"
"1042","Faah"
"1043","Faap20"
"1044","Fabp7"
"1045","Faf1"
"1046","Fahd2a"
"1047","Faim"
"1048","Faim2"
"1049","Fam102b"
"1050","Fam107b"
"1051","Fam110c"
"1052","Fam117a"
"1053","Fam117b"
"1054","Fam124a"
"1055","Fam13a"
"1056","Fam161a"
"1057","Fam178b"
"1058","Fam183b"
"1059","Fam193a"
"1060","Fam199x"
"1061","Fam20c"
"1062","Fam210b"
"1063","Fam216a"
"1064","Fam221b"
"1065","Fam228b"
"1066","Fam32a"
"1067","Fam3a"
"1068","Fam43a"
"1069","Fam78a"
"1070","Fam83g"
"1071","Fam98b"
"1072","Fam98c"
"1073","Fancl"
"1074","Fank1"
"1075","Fars2"
"1076","Fas"
"1077","Fat4"
"1078","Fblim1"
"1079","Fbln1"
"1080","Fbln5"
"1081","Fbn2"
"1082","Fbrs"
"1083","Fbxl17"
"1084","Fbxl18"
"1085","Fbxo16"
"1086","Fbxo25"
"1087","Fbxo36"
"1088","Fbxo47"
"1089","Fbxw7"
"1090","Fcer1g"
"1091","Fcgr1"
"1092","Fcgr2b"
"1093","Fcgr3"
"1094","Fcgrt"
"1095","Fcho2"
"1096","Fcna"
"1097","Fcor"
"1098","Fcrls"
"1099","Fech"
"1100","Fem1b"
"1101","Fermt3"
"1102","Fes"
"1103","Fez1"
"1104","Fgd2"
"1105","Fgfbp3"
"1106","Fgfr1"
"1107","Fggy"
"1108","Fhit"
"1109","Fhod3"
"1110","Fibin"
"1111","Figla"
"1112","Fis1"
"1113","Fitm2"
"1114","Fkbp11"
"1115","Fkbp6"
"1116","Fkbp7"
"1117","Flnc"
"1118","Flot1"
"1119","Flrt3"
"1120","Flywch2"
"1121","Fmc1"
"1122","Fmnl3"
"1123","Fmo1"
"1124","Fmr1nb"
"1125","Fn1"
"1126","Fndc4"
"1127","Fndc5"
"1128","Fnip1"
"1129","Fnip2"
"1130","Fnta"
"1131","Foxa3"
"1132","Foxj1"
"1133","Foxk1"
"1134","Foxl2"
"1135","Foxp2"
"1136","Fra10ac1"
"1137","Frmd6"
"1138","Fsd1"
"1139","Fst"
"1140","Fuca2"
"1141","Fundc1"
"1142","Fundc2"
"1143","Fuom"
"1144","Furin"
"1145","Fut10"
"1146","Fut8"
"1147","Fuz"
"1148","Fxyd1"
"1149","Fxyd5"
"1150","Fyb"
"1151","Fzd1"
"1152","Fzd2"
"1153","Fzd4"
"1154","G0s2"
"1155","Gabra3"
"1156","Gabrb1"
"1157","Gadd45g"
"1158","Gal"
"1159","Galc"
"1160","Galk2"
"1161","Galm"
"1162","Gap43"
"1163","Gar1"
"1164","Garin5a"
"1165","Gas2"
"1166","Gas2l1"
"1167","Gas6"
"1168","Gata1"
"1169","Gata5"
"1170","Gata6"
"1171","Gatad2a"
"1172","Gba2"
"1173","Gbp2b"
"1174","Gbp6"
"1175","Gcat"
"1176","Gch1"
"1177","Gclm"
"1178","Gcsh"
"1179","Gdap2"
"1180","Gdf1"
"1181","Gdf6"
"1182","Gdpd2"
"1183","Gdpd5"
"1184","Gem"
"1185","Gemin7"
"1186","Gfi1b"
"1187","Gfod2"
"1188","Gfpt2"
"1189","Gfra3"
"1190","Gga1"
"1191","Gga2"
"1192","Gga3"
"1193","Ggact"
"1194","Ggh"
"1195","Ggnbp2"
"1196","Ggt5"
"1197","Ggta1"
"1198","Gigyf2"
"1199","Gimap9"
"1200","Ginm1"
"1201","Gja4"
"1202","Gjb3"
"1203","Gjc1"
"1204","Gk5"
"1205","Gkap1"
"1206","Glb1l2"
"1207","Glb1l3"
"1208","Glg1"
"1209","Gli3"
"1210","Glipr1"
"1211","Glo1"
"1212","Glod4"
"1213","Glrb"
"1214","Glrx"
"1215","Glrx5"
"1216","Gm10037"
"1217","Gm1140"
"1218","Gm13306"
"1219","Gm13539"
"1220","Gm14295"
"1221","Gm14305"
"1222","Gm14399"
"1223","Gm14410"
"1224","Gm14692"
"1225","Gm1673"
"1226","Gm17660"
"1227","Gm2000"
"1228","Gm21083"
"1229","Gm3604"
"1230","Gm4779"
"1231","Gm50478"
"1232","Gm5617"
"1233","Gm6710"
"1234","Gm7694"
"1235","Gm826"
"1236","Gm8797"
"1237","Gmfg"
"1238","Gmps"
"1239","Gna11"
"1240","Gna15"
"1241","Gnai1"
"1242","Gnai2"
"1243","Gnas"
"1244","Gnb2"
"1245","Gng10"
"1246","Gng13"
"1247","Gngt2"
"1248","Gnpda1"
"1249","Gnpda2"
"1250","Golga1"
"1251","Golm1"
"1252","Golph3"
"1253","Gon7"
"1254","Gpat3"
"1255","Gpc2"
"1256","Gpc3"
"1257","Gpcpd1"
"1258","Gpd1l"
"1259","Gpd2"
"1260","Gphn"
"1261","Gpm6a"
"1262","Gpr137"
"1263","Gpr155"
"1264","Gpr160"
"1265","Gpr182"
"1266","Gpr19"
"1267","Gpr34"
"1268","Gpr45"
"1269","Gpr85"
"1270","Gpsm3"
"1271","Gpx1"
"1272","Gramd1a"
"1273","Gramd4"
"1274","Grap"
"1275","Grap2"
"1276","Grcc10"
"1277","Greb1l"
"1278","Grhl3"
"1279","Gria3"
"1280","Grip1"
"1281","Grk4"
"1282","Grk5"
"1283","Gsap"
"1284","Gsdmd"
"1285","Gsdme"
"1286","Gse1"
"1287","Gskip"
"1288","Gspt1"
"1289","Gstk1"
"1290","Gstm5"
"1291","Gstp1"
"1292","Gstt1"
"1293","Gstt3"
"1294","Gtf2a1"
"1295","Gtf2i"
"1296","Gtf2ird1"
"1297","Gtf3c4"
"1298","Gtpbp8"
"1299","Gtsf1"
"1300","Gucy1a1"
"1301","Gucy1a2"
"1302","Gxylt1"
"1303","Gxylt2"
"1304","Gypa"
"1305","H1f0"
"1306","H1f10"
"1307","H2-D1"
"1308","H2-DMb1"
"1309","H2-Ke6"
