"","x"
"1065","Angptl1"
"1066","Fam20b"
"1067","Pcgf3"
"1068","Vps8"
"1069","Foxn3"
"1070","Usp36"
"1071","Mga"
"1072","Ppp3r1"
"1073","Slc16a2"
"1074","Gpbp1l1"
"1075","Zdhhc5"
"1076","Lsm3"
"1077","Polq"
"1078","Med13"
"1079","Fam53c"
"1080","Cbl"
"1081","Smc4"
"1082","Tulp4"
"1083","Tmem30b"
"1084","Rsrc1"
"1085","Xpot"
"1086","Cnot6l"
"1087","Sos2"
"1088","Tet3"
"1089","Acot11"
"1090","Sidt2"
"1091","Tjp3"
"1092","Foxn2"
"1093","Elmod2"
"1094","Ccdc186"
"1095","G2e3"
"1096","Uchl4"
"1097","Pcsk7"
"1098","Cox18"
"1099","Cd99l2"
"1100","Bbs9"
"1101","Ibtk"
"1102","Smug1"
"1103","Mgat5"
"1104","Pphln1"
"1105","H1f2"
"1106","9530068E07Rik"
"1107","Ap5m1"
"1108","Gng12"
"1109","Cep135"
"1110","Hif1an"
"1111","Eipr1"
"1112","Clcn7"
"1113","Tmtc3"
"1114","Aaas"
"1115","Kif15"
"1116","Rps27l"
"1117","Cnep1r1"
"1118","Jmjd4"
"1119","Dna2"
"1120","Selenof"
"1121","Cyb561d2"
"1122","Atg101"
"1123","Ldlrap1"
"1124","Slc12a9"
"1125","Azin1"
"1126","Uggt1"
"1127","Asxl2"
"1128","Bclaf1"
"1129","Atp8a1"
"1130","Tmem33"
"1131","Gnpnat1"
"1132","Nufip2"
"1133","Dhx38"
"1134","Atp6v0a2"
"1135","Cdkn2aip"
"1136","Opa1"
"1137","Sbno1"
"1138","Mphosph9"
"1139","Tmem181a"
"1140","Pgap3"
"1141","Pdss2"
"1142","Ostm1"
"1143","Wdr36"
"1144","Tsr1"
"1145","Susd1"
"1146","Sct"
"1147","Phrf1"
"1148","Polr3k"
"1149","Mindy1"
"1150","Nudcd1"
"1151","Nup205"
"1152","Gabpb2"
"1153","Ascc3"
"1154","Irs2"
"1155","Plcl2"
"1156","Adrm1"
"1157","Marchf6"
"1158","Akna"
"1159","Rbpj"
"1160","Fut11"
