,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Nkg7,0.06,0,0,0.07,0.15,0.08,0.13,0,0,0,0.21,0
Stxbp2,74.23,34.36,61.82,31.58,54.16,19.58,48.5,47.6,69.2,43.67,25.69,31.55
Pcp2,0.04,0.09,0,0.16,0,0.09,0.19,0.27,0,0.16,0,0.18
Sgce,22.88,14.13,25.48,16.53,24.62,13.28,18.67,28.66,26.07,23.95,18.29,18.24
Chn2,6.94,5.02,11.11,3.27,4.75,2.71,3.3,5.99,6.45,7.36,1.96,1.84
Wwox,5.97,3.76,5.61,3.86,6.61,2.79,4.5,7.19,11.52,9.78,3.93,4.29
Slbp,139.87,157.18,140.36,195.96,188.48,200.8,201.51,160.4,257.08,245.28,122.16,181.68
Tyr,0.06,0.04,0.04,0.01,0.02,0,0,0,0,0.02,0,0
Ghrhr,0,0.01,0,0,0,0.02,0,0,0,0,0,0
Aqp1,1.34,0.6,2.07,1.23,3.3,1.13,2.75,3,2.73,4.18,1.51,2.16
Arid3b,18.64,14.53,15.81,19,25.82,18.66,21.4,12.23,16.82,19.35,41.81,32.09
Cnn2,59.76,66.95,73.57,22.09,22.84,53.62,53.56,25.58,18.82,20.57,43.59,37.59
Polr2e,76.86,77.95,84.52,77.64,83.22,113.23,117.84,94.73,66.95,57.79,108.11,102.35
Abca13,0.06,0.08,0.05,0.05,0.08,0,0.01,0.01,0.18,0.08,0.1,0.02
Myo9b,16.39,10.17,17.28,8.68,17.77,10.93,15.24,12.19,24.44,22.09,13.18,11.53
Hdac9,2.4,1.88,2.26,2.05,5.13,1.76,3.52,3.66,8.51,7.87,4.18,3.96
Ly9,0.4,0.42,0.3,0.17,0.18,0.06,0.09,0.2,0.28,0.14,0.34,0.11
Cd244a,2.01,0.34,1.15,0.52,0.53,0.02,0,0.21,0.04,0.3,0.01,0.01
Adgre1,2.46,1.52,2.38,0.8,1.21,0.69,0.72,1.15,0.96,1.06,0.48,0.54
Mtfp1,3.72,2.71,5.44,3.03,3.85,4.31,4.92,4.77,3.78,3.88,3.64,4.28
Rab23,29.44,19.66,36.74,15.77,39.28,23.28,38.22,20.68,30.13,25.65,35.65,30.39
Rab11a,180.46,207.69,214.93,210.86,190.05,194.02,157.52,230.68,236.85,300.84,229.8,227.93
Eif2b2,54.87,20.51,55.54,21.58,50.23,22.98,51.36,41.41,32.43,23.59,51.28,35.61
Dlst,111.48,73.36,129.34,72.96,141.69,83.81,118.42,103.38,101.46,89.97,89.53,92.62
Pgf,3.85,2.35,3.18,1.21,1.01,2.86,4.75,1.51,1.4,0.8,5.95,4.07
Ulk2,23.67,14.06,23.45,11.91,24.49,10.7,17.05,12.25,22.66,24.72,12.22,15.31
Ccl24,2.29,1.19,1.09,0.55,0.05,0.15,0,0.19,0.28,0.39,0,0.29
Dgkq,7.21,5.66,8.01,3.81,9.32,3.03,5.52,3.01,4.17,6.01,3.39,4.74
Tmed11,0,0,0,0,0,0,0,0.12,0.18,0.26,0,0
Grap,3.07,2.17,3.66,2.02,2.61,1.4,1.18,3.9,2.32,2.6,1.48,1.22
Pou1f1,0,0,0,0,0,0,0,0,0,0,0,0.03
Chmp2b,39.53,35.34,42.14,35.03,39.58,28.03,29.81,42.89,45.65,48.07,29.56,31.95
Plod3,44.1,45.55,44.14,31.62,31.19,44.8,45.17,25.72,26.82,39.49,43.42,42.11
Ap1s1,80.02,48.21,75.61,51.11,76.97,47.75,67.72,92.91,83.1,61.64,47.16,49.93
Mapk13,16.15,11.53,30.37,19.69,25.95,96.79,106.49,23.32,16.14,13.99,67.84,76.6
Srpk1,116.12,84.76,109.35,82.97,168.48,101.73,129.84,70.33,118.51,138.83,114.11,130.37
Pax3,0.06,0.06,0.07,0.08,0.1,0.02,0.03,0.02,0.05,0.04,0.01,0.02
Lbr,72.87,49.24,63.52,42.19,96.86,53.53,89.24,41.69,75.89,64.73,107.21,75.54
Crabp2,84.05,48.65,82.59,31.61,43.33,14.12,20.68,44.54,45.85,25.82,64.07,23.69
Nes,38.17,22.91,39.63,10.43,19.11,28.42,38.48,12.29,13.97,14.35,54.06,39.79
Bcan,0.02,0,0.12,0.16,0.26,0.67,1.21,0.65,0.61,0.28,4.95,1.86
Hapln2,0,0,0.07,0,0,0,0.09,0.02,0,0.03,0,0
Prcc,38.6,27.75,44.24,30.58,44.44,29.04,38.83,52.52,47.36,43.76,27.19,33.42
Rrnad1,12.12,8.17,15.16,6.2,8.64,7.91,11.63,8.37,9.96,8.25,8.48,7.64
Hdgf,212.79,205.02,246.96,189.3,251.51,237.98,219.61,166.56,183.42,247.86,240.24,252.68
Slc25a18,1.72,1.44,3.25,4.2,3.94,1.95,3.59,5.04,4.77,4.23,2.08,3.44
Thop1,32.19,24.4,35.18,30.95,35.88,37.11,44.96,34.98,53.5,40.17,37.53,43.13
Apba3,9.7,9.6,12.44,8.49,9.4,8.92,11.05,11.17,8.54,13.47,8.69,12.95
Matk,0.89,0.54,0.47,0.62,2.38,0.21,0.29,3.1,2.64,2.29,0.23,0.37
Pias4,21.07,14.97,27.39,16.37,23.03,18.57,22.38,20.49,15.53,17.24,20.09,16.85
Map2k1,43.57,27.69,49.8,24.57,41.87,34.6,51.44,33.29,36.09,30.47,31.3,35.64
Sgta,79.76,50.4,91.2,52.89,86.56,55.97,78.8,75.95,67.69,62.38,72.66,69.98
Nmrk2,0,0,0,0,0,0,0,0,0.03,0,0,0
Tmem242,53.6,42.48,60.58,44.97,43.66,45.16,42.09,54.41,39.81,42.05,29.35,45.1
Dtx2,13.23,9.08,14.89,12.08,17.34,7.32,10.7,20.47,20.16,14.54,14.48,9.68
Zp3,0.04,0.05,0.04,0.21,0.22,0.05,0.04,0.06,0.18,0.17,0.06,0.02
Hspb1,10.32,5.72,9.7,12.99,25.59,9.88,19.16,32.43,20.96,13.47,25.82,22.77
Rasa4,10.58,6.37,10.95,6.91,10.76,2.84,4.79,10.01,7.34,7.41,1.57,3.25
Syt5,3.86,2.72,3.62,9.41,11.32,3.08,3.24,9.03,5.71,5.57,3.88,2.69
Hnrnpa2b1,2719.29,2391.15,2792.84,2147.7,2313.34,2379.81,2777.63,1910.59,2080.86,2452.99,2371.02,2785.31
Fxyd4,0.18,0.24,0,0.07,0,0,0,0.12,0,0,0,0
Ccdc130,11.76,12.66,12.95,11.42,14.14,12.44,15.05,11.15,10.86,10.61,25.13,12.88
Mri1,3.63,2.71,4.42,3.07,3.96,2.94,2.8,4.65,3.26,3.07,2.72,2.37
Prkacb,46.85,43.46,47.1,28.65,53.02,34.58,41.94,26.52,36.6,52.71,29.88,47
Sgsh,3.9,2.55,4.43,2.36,4.25,2.07,3.91,3.22,3.49,3.34,3.71,3.98
Chd5,0.99,0.74,0.47,1.12,2.25,1.23,1.73,1.74,6.31,6.69,11.71,6.41
Cstb,61.23,38.35,77.67,43.83,56.19,37.33,62.42,71.32,66.32,41.79,49.41,38.39
Sh2b2,2.27,1.22,3.21,0.97,1.79,2.36,3.8,1.51,2.68,1.62,1.76,2.24
Pex5,17.11,11.63,22.63,11.93,18.89,9.21,14.82,15.32,15.18,16.53,11.13,11.09
Jkamp,34.75,31.81,37.25,37.09,41.8,34.5,29.54,40.35,34.33,57.85,44.94,53.34
Cd44,2.33,0.99,1.47,4.1,11.73,0.75,1.67,7.29,13.23,14.08,1.46,1.05
Slc1a2,0.66,0.32,0.79,0.2,0.66,0.26,0.34,0.43,0.3,0.29,0.41,0.17
Eif2ak4,10.77,6.39,10.53,5.03,9.6,5.11,8.33,5.12,8.31,9.36,6.43,6.86
Wdr1,113.99,92.6,138.88,68.6,86.59,77.62,91.59,63.24,56.12,111,80.92,105.42
Slc2a9,2.2,1.56,2.7,0.63,1.88,0.64,1.43,0.85,0.84,1.01,0.71,1.25
Ccn4,5.83,3,7.7,2.98,7.41,9.23,14.87,5.73,8.18,7.9,9.98,11.36
Ndrg1,12.33,7.31,12.04,11.34,21.09,4.06,6.68,18.7,13.46,12.2,6.59,5.99
4930550C14Rik,2.34,1.11,1.72,1.54,1.23,1.1,1.25,1.96,2.36,2.08,2.86,1.34
Man2b1,8.96,6.16,11.29,6.43,12,6.74,8.48,7.4,10.46,11.44,5.7,7.21
Klf5,7.64,4.76,5.33,7.53,16.55,8,12.78,8.16,11.49,7.93,7.61,10.31
Wdr83,18.91,13.81,24.75,13.48,18.92,14.75,20.84,22,19.16,14.97,18.65,16.56
Prdx2,579.86,411.08,733.53,418.66,382.56,413.01,440.38,576.19,366.74,357.03,300.06,381.59
Polr2a,178.64,122.54,154.57,90.65,125.98,118.23,192.04,83.54,187.81,133.67,209.59,122.02
Shbg,2.02,1,5.76,2.28,4.24,7.19,12.46,4.98,2.26,2.87,6,5.35
Senp3,106.15,87.02,112.55,117.75,149.03,106.78,135.3,123.81,122.6,145.98,135.89,130.98
Corin,1.57,1.08,1.43,0.26,0.2,0.27,0.55,0.16,0.11,0.21,0.53,0.81
Plekha8,22.79,20.32,23.76,14.87,30.19,17.8,21.83,14.5,27.23,34.58,31.3,28.88
G6pc2,9.41,7.24,9.69,4.44,5.06,1.34,2.16,1.72,1.51,2.04,0.54,0.72
Spc25,118.08,92.81,105.5,97.13,130.8,152.4,169.78,117.02,99.92,115.42,105.86,139.35
Dnah2,0.84,0.53,1.1,0.71,0.64,0.44,0.78,0.83,1.25,1.12,2.51,2.78
Ripk4,1.01,0.56,0.89,1.1,2.36,1,1.14,2.77,3.54,3.01,5.61,2.35
Ufd1,64.33,41.8,73.7,52.67,80.37,50.31,78.68,78.22,86.72,67.3,66.54,62.12
Zfp287,5.01,3.18,4.89,2.03,4.72,1.95,3.36,2.71,4.37,4.52,5.45,3.91
Prlr,0.37,0.38,0.45,0.41,0.47,2.04,3.58,0.15,0.49,1.35,8.62,13.39
Letm1,16.11,11.05,17.95,13.99,25.76,14.25,19.21,24.78,25.2,20.12,20.86,16.47
Ubqln1,69.36,40.99,74.2,49.84,96.99,55.43,87.73,70.54,71.59,67.95,88.82,92.87
Fgfr4,1.17,0.94,1.68,0.28,1.01,0.38,0.86,0.53,0.33,0.46,1.3,0.72
Cadm3,7.91,2.74,5.66,1.18,2.62,1.73,2.61,2.61,1.58,1.84,2.12,2.94
Fcer1a,0,0,0,0,0,0,0,0,0,0,0,0
Txn2,55.34,67.13,68.2,65.69,60.71,63.35,57.73,64.82,50,75.31,51.1,58.1
Casp14,0.02,0.03,0,0.07,0.02,0.01,0,0,0.02,0.02,0.03,0
Slc1a6,5.82,3.53,5.69,3.81,4.92,2.73,4.78,4.35,2.28,2.99,4.15,3.51
Slc1a3,10.78,9.02,12.52,2.31,3.43,2.67,3.39,2.1,1.95,3.06,3.36,2.31
Crbn,36.77,23.57,32.49,23.91,49.59,25.79,36.1,32.72,43.33,39.01,45.5,40.31
Il5ra,0.06,0.09,0.12,0.03,0,0,0.02,0,0,0.03,0,0.01
Msh6,130.25,130.39,114.66,123.51,201.07,161.09,196.62,90.73,96.96,128.97,165.72,194.69
Fbxo11,90.23,62.92,94.7,49.4,79.4,56.08,83.1,46.69,73.88,78.42,91.03,75.73
Mlxipl,2.68,1.62,2.19,5.07,7.6,1.51,2.92,4.6,5.4,4.23,1.15,1.36
Tbl2,14.88,11.14,14.8,11.5,23.15,13.25,18.53,17.2,26.97,25.37,13.4,13.85
Bud23,48.57,48.75,62.08,48.98,37.6,46.4,44.2,49.62,38.74,37.64,34.77,46
Nid1,64.14,44.06,62.47,27.11,43.22,76.26,104.7,20.04,38.52,59.21,74.85,86.64
Mcm5,102.23,70.15,111.4,83.08,122.21,100.9,134.4,110.13,132.32,127.93,67.1,105.07
Hmox1,28.98,17.33,37.46,20.14,26.32,20.97,34.42,24.15,19.85,20.04,35.07,30.19
Mprip,118.76,75.27,133.48,76.68,128.36,83.15,118.77,104.55,123.72,123.04,90.37,103.72
Cic,117.93,87.49,97.8,82.96,87.88,69.21,126.91,90.07,69.29,65.76,108.89,96.85
Pafah1b3,70.68,44.23,86.8,61.46,80.14,49.51,70.32,104.37,72.38,76.29,41.65,60.38
Il27ra,0.68,0.43,0.96,0.87,0.76,0.3,0.63,1.12,0.88,1.05,0.49,0.72
Prkaca,58.18,46.85,66.88,45.57,53.82,41.8,57.83,47,46.77,59.71,43.84,55.01
Asf1b,13.95,9.34,14.72,11.44,18.49,15.55,22.37,30.84,50.52,31.8,12.98,14.7
Myl10,0,0.06,0,0,0,0,0,0.07,0,0,0,0
Ddx39a,47.24,32.6,55.42,43.37,57.69,53.64,61.42,47.34,38.33,43.07,36.98,51.57
Dnajb1,17.75,15.31,19.52,15.11,23.58,19.05,24.07,20.99,19.87,21.46,25.1,25.37
Msh4,0.42,0.23,0.25,1.28,2.18,0.33,0.56,3.66,8.82,7.81,1.9,0.87
Usp40,23.82,15.06,21.92,13.49,27.13,14.31,19.68,15.09,31.39,34.21,22.46,21.88
Evx1,0.03,0.09,0.07,0.12,0.54,0.39,0.46,0.2,0.13,0.09,0.11,0.11
Kbtbd4,21.95,14.95,23.72,9.44,22.54,14.62,23.49,12.8,26.86,13.3,26.13,24.55
Celf1,81.17,49.16,80.26,43.98,87.59,43.81,77.01,49.38,61.58,62.76,42.07,55.38
Ndufs3,95.57,68.53,133.02,85.76,139.49,82.33,126.12,162.09,131.05,116.53,87,111.62
Por,62.06,45.51,72.42,47.31,84.19,32.03,53.38,67.17,81.54,61.49,61.11,46.41
Igf1r,22.93,11.11,20.83,5.58,14.25,9.33,20.55,7.57,11.26,11.43,18.92,16.3
Insr,12.51,6.7,11.46,4.92,9.32,4.9,9.77,5.08,7.55,9.93,6,7.83
Fcer2a,0,0,0,0,0.02,0,0.05,0,0,0.04,0.04,0
Cyp2a5,0,0,0.11,0.06,0,0,0,0,0,0,0,0.1
Atp4a,0.25,0.08,0.17,0.33,0.21,0.54,1.69,0.24,0.56,0.22,0.36,0.71
Trim28,558.27,393.66,665.88,440.38,643.06,466.37,612.1,436.62,419.6,528.64,329.98,567.42
Ube2m,77.32,54.65,86.5,55.81,69.89,45.02,63.44,62.31,57.72,58.34,34.7,40.34
Adcy9,1.72,1.02,2.18,1.05,3.88,1.92,3.96,1.34,4.65,4.69,3.96,4.09
Mef2c,26.81,12.8,30.68,3.72,15.27,20.06,33.24,3.66,8.01,10.55,25.84,27.85
Ctr9,47.29,39.55,44.82,32.96,55.89,43.23,54.57,33.99,41.69,54.01,80.96,67.72
Eif4g2,1247.91,683.74,1017.46,441.71,901.98,613.29,1125.78,555.91,821.88,558.55,616.44,820.4
Irag1,13.54,8.83,10.85,2.53,5.1,5.28,11.62,3.03,4.5,6.5,10.97,11.64
Pcyt1a,24.03,15.14,22.01,9.71,25.15,13.14,17.77,10.97,21.79,26.42,19.92,18.13
Zfp592,17.63,9.79,15.88,13.13,14.75,9.05,11.79,10.7,13.96,17.74,9.34,12.65
Psmd4,200.57,162.4,239.7,180.75,211.66,194.54,229.52,246.42,169.09,187.84,195.39,215.87
Tmod4,2.07,1.83,2.47,1.27,1.77,1.19,1.78,1.16,1.04,0.91,0.66,1
Insrr,0.05,0.03,0.06,0.01,0.02,0.03,0.16,0.05,0.02,0.02,0.12,0.13
Cabp5,0.22,0.13,0.28,0.09,0.03,0.11,0.92,0.13,0.34,0.71,0.04,0.11
Snx6,161.74,128.97,178.47,122.71,167.09,110.76,144.52,133.11,131.68,126.51,162.16,150.04
Mthfd2,16.41,8.45,14.85,12.12,17.7,11.88,18.59,15.92,15.53,13.56,13.55,15.06
Kit,34.89,21.72,32.32,28.45,63.37,29.99,41.3,24.66,36.75,33.25,13.17,21.51
Tomm40l,13.36,5.85,13.85,6.15,12.06,6.39,13.69,14.37,9,9.66,7.48,8.41
Nr1i3,0.19,0.11,0.33,0.11,0.29,0.14,0.27,0.39,0.23,0.1,0.15,0.16
Apoa2,0.17,0,0,0.07,0,0,0.16,0,0.59,0.52,0.26,0.09
Pan2,23.09,16.63,23.9,16.04,21.44,17.31,22.35,12.95,17.92,22.37,20.17,21.78
Cs,94.01,64.2,99.77,67.6,109.27,68.71,93.41,89.51,132.27,110.61,71.13,74.18
Ampd3,4.64,1.1,2.16,1.11,2.39,1.87,2.37,1.14,2.1,3.62,4.22,3.23
Bcas2,175.11,159.9,198.45,220.89,233.22,211.82,209.87,301.67,275.98,253.43,299.69,272.45
Sh2d1a,0,0,0,0,0,0,0,0,0,0,0,0
Ctcf,107.14,87.74,106.84,49.64,99.95,80.29,98.12,38.28,68.17,83.46,106.1,84.01
Pard6a,5.16,2.21,5.08,3.75,5.55,2.57,5.19,5.88,9.5,4.47,3.31,4.24
Agrp,0.09,0.3,0.22,0.14,0.11,0.11,0.19,0.15,0.32,0.24,0.07,0
Pvalb,0.12,0,0.05,0.15,0.13,0.07,0,0.51,0.19,0.2,0,0.07
Tfap4,16.11,11.95,20.81,13.81,17.14,15.73,20.92,10.11,10,11.33,12.09,18.14
Ranbp1,519.18,421.62,584.93,474.79,539.14,538.46,569.12,569.24,399.33,400.76,361.22,471.01
Cd247,1.34,0.68,1.41,0.42,0.95,0.14,0.88,0.51,0.68,0.66,1.26,0.47
Rfx5,15.33,7.48,13.82,8.47,15.75,5.28,9.05,9.24,13.77,15.05,5.72,7.9
Psmb4,119.02,82.77,152.46,99.73,127.75,122.97,131.97,180.86,135.28,152.76,104.96,143.16
Mmp8,0.04,0.05,0.13,0.05,0.2,0.05,0.06,0.1,0.02,0.02,0.06,0.06
Slc30a4,9.25,6.56,9.43,6.87,13.66,5.37,9.02,11.24,21.72,18.64,5.96,7.09
Sqor,4.95,2.45,4.55,3.47,5.4,2.25,3.83,5.86,5.44,5.63,5.54,5.15
Bloc1s6,22.15,15.98,22.59,14.63,20.65,13.56,19.97,17.37,18.92,17.83,13.19,16.08
Metap1,36.94,24.97,46.29,28.72,47.9,30.96,43.77,30.67,30.94,39.38,27.29,32.7
Gpr108,7.81,4.83,7.26,5.71,8.95,4.4,8.1,10.24,9.76,8.28,7.71,6.34
Tnfsf14,0.13,0.13,0.24,0.07,0.06,0.02,0.05,0.06,0.09,0.07,0.02,0.07
Gata6,58.42,37.22,65.41,36.81,51.69,13.04,21.57,34.67,34.23,34.47,11.16,13.81
Rsl1d1,145.64,106,172.14,131.95,182.94,144.2,168.48,153.75,159.7,141.27,140.06,147.62
Cnga2,0.08,0.02,0.06,0.03,0.05,0.03,0.28,0.05,0.05,0.03,0.05,0.01
Apc,42.97,26.35,27.87,14.72,52.42,20.12,35.07,9.4,24.9,54.92,53.73,54.37
Reep5,65.71,64.07,120.06,65.73,95.77,50.72,45.57,108.75,58.61,100.03,32.41,46.42
Ergic3,65.86,35.45,70.96,43.7,58.96,44.72,59.96,63.88,52.82,54.34,44.45,53.23
Uqcc1,32.32,28.61,39.15,29.92,32.11,28.86,37.19,31.96,24.81,36.94,30.23,38.39
Spo11,0.67,0.35,0.7,1.45,2.28,1.35,2.37,2.35,7.28,4.37,1.74,1.76
Ncoa2,33.91,22.91,24.64,16.59,52.03,18.3,28.87,14.3,28.37,68.59,23.12,41.07
Prl4a1,0,0,0,0,0,0,0,0,0,0,0,0
Trh,1.67,1.69,1.3,1.2,0.85,2.19,1.9,1.21,0.83,0.56,1.43,2.69
Nr2c2,18.57,19.14,16.23,8.66,17.99,13.41,16.29,6.82,16.89,22.82,16.59,16.95
Nr2c1,10.55,5.35,9.92,4.8,8.61,3.54,6.8,4.93,6.73,6.41,3.94,5.1
Smpd4,43.61,28.84,35.18,30.1,42.86,31.07,41.69,29.23,46.67,49.01,28.37,37.78
Pex1,15.98,12.73,14.37,10.69,11.26,12,14.86,8.55,12.55,15.86,22.16,18.52
Otx1,0.05,0.03,0.03,0.19,0.27,0.13,0.2,0.17,0.34,0.31,0.72,0.4
Kctd20,70.02,45.68,75.97,39.01,74.28,51.21,64.14,39.82,53.01,69.76,54.76,63.4
Itgae,0.02,0.01,0.02,0.05,0.08,0.08,0.1,0.21,0.24,0.13,0.13,0.11
Ctns,14.95,9.55,14.84,9.42,15,6.27,8.48,11.68,16.91,16.63,18.43,12.99
P2rx5,0.1,0.06,0.11,0.11,0.67,0.06,0.2,0.48,0.54,0.25,0.23,0.15
Shpk,0.79,0.49,1.02,0.52,1.18,0.29,0.45,0.9,1.09,1.22,0.42,0.5
Trpv1,0,0.01,0,0,0,0.08,0,0,0.02,0,0.03,0.01
Ephb3,7.33,6.27,9.45,4.36,6.92,5.81,8.26,5.2,3.2,7.1,5.59,8.24
Tuft1,9,3.62,6.97,4.79,11.67,4.95,7.46,8.4,16.47,9.3,7.64,6.67
Rcn1,125.38,89.37,172.76,74.72,108.3,134.27,180.67,103.9,95.08,98.63,133.95,150.72
Dnase1,0.26,0.06,0.28,0.38,0.12,0.07,0.34,0.33,0.27,0.23,0.3,0.1
Trap1,75.46,57.94,77.34,77.33,105.72,85.96,100.33,88.58,106.21,91.42,162.39,130.52
Naa60,21.71,13.16,25.85,11.34,17.63,12.36,21.42,11.63,12.86,14.3,13.46,16.54
1700037C18Rik,1.35,0.97,1.16,1.32,1.58,0.76,1.18,3.03,1.78,1.69,1.01,0.87
Ankrd13d,1.56,1.61,1.78,2.31,2.26,1.27,1.28,3.14,3.17,3.18,0.86,0.94
Tyrp1,0,0.15,0,0,0,0,0,0,0,0,0,0
Tpr,336.54,217.57,318.91,206.46,309.56,283.94,398.88,191.17,272.57,304.08,426.47,298.65
Pdc,0,0,0,0,0,0,0,0,0,0,0,0
Odr4,31.23,23.13,31.43,21.45,32.26,25.66,32.68,29,32.69,37.36,30.34,33.74
Prg4,0.02,0.02,0.12,0.09,0.04,0.03,0.2,0.77,0.03,0.96,0.27,1.1
Dhx34,4.55,2.47,5.07,2.36,4.22,2.46,4.16,3.07,3.66,3.45,2.12,2.77
Kptn,9.47,4.86,8.28,4.71,9.11,3.91,7.56,7.07,9.93,7.04,8.54,7.12
Napa,52.18,34.09,68.74,38.38,52.47,35.05,56.58,56.32,59.14,49.05,40.09,44.82
Sra1,62.52,49.48,82.64,62.89,81.48,61.88,74.12,83.13,62.25,63.87,66,71.12
Calcoco2,4.14,6.28,2.45,28.61,33.25,4.23,1.95,16.65,11.53,15.04,1.43,5.67
Atp5g1,41.82,29.56,54.2,47.68,59.76,60.5,71.08,68.77,52.64,45.06,69.13,68.34
Snf8,61.68,31.15,68.64,44.33,75.25,36.29,62.26,113.02,85.93,58.42,47.83,56.45
Tbcb,68.54,26.95,75.28,30.72,60.84,35.03,67.13,70.88,63.19,31.47,63.8,44.02
Inpp5k,10.65,6.9,10.45,8.38,9.7,4.55,7.58,6.66,9.93,14.78,6.1,8.16
Crkl,31.69,16.31,30.14,12.99,30.27,13.45,27.47,14.2,19.55,20.16,20.83,23.23
Upk3bl,0.16,0.09,0.14,0.11,0.06,0.16,0.15,0.07,0.12,0,0,0
Eps8l1,0.66,0.32,0.74,1.07,0.55,0.28,0.24,1.62,1.22,1.37,0.63,0.42
Clint1,86.65,72.41,84.63,60.95,88.35,65.3,85.95,51.57,67.48,79.05,64.79,73.64
Prss16,0.17,0.08,0.15,0.22,0.36,0.09,0.27,1.36,2.18,1.45,0.1,0.07
Cdkal1,20.81,9.78,17.83,7.69,21.02,9.87,21.88,10.44,15.99,11.09,18.14,23.07
Rhox6,63.39,47.94,41.54,103.9,127.62,17.36,13.93,109.76,76.71,56.62,2.67,2.89
Cdcp3,0,0,0,0.01,0,0,0.01,0.01,0.08,0.05,0.05,0.01
Htra1,4.98,3.66,6.68,9.74,18.47,10.1,14.68,25.49,17.73,12.36,15.02,11.55
Zbtb17,12.28,20.59,14.19,16.18,17.36,16.8,12.6,13.96,15.09,17.82,13.19,15.93
Clcnkb,0.24,0.04,0.51,0,0.11,0,0,0.13,0,0,0.01,0
Fam131c,0.18,0.27,0.13,0.17,0.08,0.29,0,0.4,0.2,0.16,0.05,0.13
Fblim1,51.42,33.61,58.9,16.46,22.33,29.99,42.86,18.89,20.53,18.97,36.61,37.61
Hspb7,0.09,0.05,0.08,0.06,0.27,0.14,0.19,0.3,0.21,0.39,0.34,0.39
Epor,2.47,1.6,2.02,0.52,0.45,0.48,0.89,0.57,0.22,1.43,0.26,0.88
Ccdc159,2.7,2.85,3.94,3.1,3.42,1.75,2.39,2.86,1.71,3.37,1.16,1.86
Mob1b,15.02,10.29,14.91,7.54,15.69,6.74,10.93,7.86,15.39,20.62,11.15,10.66
Atp6v1b1,0.2,0.06,0.38,0,0,0,0,0,0,0,0,0
Vax1,0,0,0,0.03,0,0.06,0.05,0,0,0,0,0
Atp6v1b2,67.64,49.62,69.88,49.59,65.09,38.52,51.92,50.72,54.4,52.22,115.62,89.79
Eps15l1,47.93,29.35,51.86,24.18,36.56,29.31,43.4,26.01,29.92,33.99,27.72,29.24
Tep1,11.28,6.18,13.98,9.6,10.82,6.47,11.63,15.69,11.34,11.44,13.62,6.66
Ttc5,35.84,50.57,36.86,40.95,37.47,43.06,32.93,28.66,32.3,49.85,33.26,46.62
Osgep,79.54,53.99,114.14,79.24,105.13,71.28,95.79,133.73,95.4,92.47,91.68,99.73
Aamp,104.4,76.01,108.99,84.48,111.32,96.71,116.69,108.94,76.4,78.9,113.7,138.12
Tmbim1,6.07,5.09,8.52,6.16,8.52,5.98,7.3,8.3,6.16,7.67,7.78,7.22
Arpc2,202.86,208.39,243.99,227.03,228.31,239.19,226.42,223.01,236.77,257.16,202.16,227.28
Kmt2b,32.77,22.53,31.57,20.33,31.98,20.53,32.35,14.45,23.61,30.9,42.96,28.55
Zbtb32,0.67,0.6,0.45,0.99,2.41,1.02,0.93,2.96,4.68,4.91,3.37,1.57
Etv2,2.43,1.12,2.42,0.44,0.35,0.48,0.61,0.55,0.29,0.23,0.2,0.19
Upk1a,0.36,0.4,0.19,0.11,0.16,0.2,0.42,0.11,0.2,0.29,0.19,0.2
Tmem147,22.37,12.68,26.72,20.88,35.64,21.37,32.59,47.82,38.32,29.48,23.12,24.96
Rps9,1535.64,929.12,1867.29,1187.97,1896.71,1094.86,1690.91,2808.77,1391.92,1060.45,1230.56,1114.7
Tfpt,24.27,17.57,26.34,17.76,25.86,21.15,28.95,30.33,20.85,18.43,26.15,23.8
Susd2,3.16,1.54,3.34,1.9,2.71,0.86,1.03,2.76,2.07,2.17,0.97,1.31
Ggt5,11.96,3.77,7.55,5.52,14.01,3.96,15.36,9.63,9.29,8.06,6.49,13.34
Ggt1,10.5,5.84,6.43,6.59,12.26,2.35,2.29,5.5,2.75,2.65,0.48,0.85
Crip2,18.88,11.06,23.13,9.7,10.9,10.13,17.77,11.28,9.68,8.24,7.86,9.36
Crip1,82.47,45.81,93.27,62.18,81.35,44.85,77.53,111.43,75.33,31.96,28.05,40.18
Cbfa2t3,6.75,4.36,6.17,3.33,6.82,4.74,5.98,1.99,4.51,4.52,8.95,3.77
Fbln1,32.23,18.38,37.47,17.53,27.54,17.08,25.67,32.48,28.28,29.09,19.41,17.97
Pgrmc1,119.5,92.88,132.94,84.33,107.03,102.17,124.87,112.16,103.8,106.37,105.4,120.91
Gcat,6.66,3.72,8.49,5.78,8.78,4,5.23,7.93,5.56,4.48,4.62,3.92
Tek,14.42,7.9,12.89,3.26,6.62,4.39,7.55,3.49,4.81,4.59,5.77,6.01
Mpl,0.33,0.15,0.56,0.1,0.17,0.07,0.08,0.06,0.09,0.12,0.01,0.01
Elovl1,22.53,13.38,23.71,13.16,21.39,10.56,16.97,24.21,21.13,16.07,9.11,12.71
Med8,94.5,62.84,112.41,66.42,106.34,63.82,90.76,98.64,98.4,65.05,69.04,66.67
