,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Gm11704,0,0,0,0,0,0,0,0,0,0,0,0
Rpl3-ps2,1.2,1.06,2.71,4.89,1,1.97,1.3,1.98,0.83,10.28,1.39,10.05
Gm12856,1.53,1.08,1.6,1.1,3.09,1.99,1.97,1.02,1.78,1.03,2.1,3.54
Pom121l12,0,0,0,0,0,0,0,0,0,0,0,0
Vmn1r207,0,0,0,0,0,0,0,0,0,0,0,0
Gm12104,0.17,0.03,0.05,0,0,0.03,0,0,0,0.2,0.09,0.1
Gm15075,0,0,0,0,0,0,0,0,0,0,0,0
Gm15644,0.23,0.12,0.2,0,0,0,0,0,0,0,0,0
Gm7113,0,0,0,0,0,0,0,0,0,0,0,0
Gm15061,0,0,0,0,0,0,0,0,0,0,0,0
Gm13902,0.11,0.17,0.57,0.19,0,0.28,0,0.08,0.15,0.44,0.1,0.6
Gm6451,3.63,4.16,3.57,4.45,3.7,4.93,3.44,3.5,3.84,3.11,3.62,3.58
Gm13924,0,0,0,0,0,0,0,0,0,0,0,0
Gm16420,0,0,0,0,0,0,0,0,0,0,0,0
Gm5287,0,0,0,0,0,0,0,0,0,0,0,0
Sycn,0,0,0,0,0,0,0,0,0,0,0,0
Gm13508,0,0,0,0,0,0,0,0,0,0,0,0.05
Gm11759,0,0,0,0.08,0.19,0,0,0,0,0,0,0
Taar7c-ps,0,0,0,0,0,0,0,0,0,0,0,0
Gm12009,0.29,0.14,0.26,0.03,0.11,0.06,0.29,0.37,0.28,0.21,0.11,0.03
Gm13474,0,0,0,0,0,0,0,0,0,0,0,0
Gm12851,0,0,0,0,0,0,0,0,0,0,0,0
Gm8089,0,0,0,0,0,0,0,0,0,0,0,0
Gm13282,0,0,0,0,0,0,0,0,0,0,0,0
Gm6823,0,0,0,0,0,0,0,0,0,0,0,0
Gm15372,0,0,0,0,0,0,0,0,0,0,0,0
Gm15593,0,0,0,0.03,0,0.03,0,0,0,0,0,0
Setd9-ps,0,0,0.08,0,0,0.06,0,0.07,0,0,0,0
Gm8145,0,0,0,0,0,0,0,0,0,0,0,0
Gm12387,0,0,0,0,0,0,0,0.04,0,0,0,0
Gm13426,0,0,0,0,0,0,0,0,0,0,0,0
Gm8080,0,0,0,0,0,0,0,0,0.05,0,0,0
4933405O20Rik,0,0.02,0.03,0,0,0,0.04,0,0.04,0,0,0
Gm13076,0,0,0,0,0,0,0,0,0,0,0,0
Gm15383,0,0,0,0,0,0.02,0,0,0,0,0,0
Gm13416,0,0.04,0.09,0.07,0.18,0.04,0.03,0.02,0.07,0.06,0.05,0.04
Gm14020,0,0,0,0,0,0,0,0,0,0,0,0
Gm14994,0,0,0,0,0,0,0,0,0,0,0,0
Gm12267,0,0.09,0.07,0.04,0,0.05,0,0,0.09,0.07,0,0
Gm11256,0,0,0,0,0,0,0,0,0,0,0,0
Defa-ps11,0,0,0,0,0,0,0,0,0,0,0,0
Gm11597,0,0,0,0,0,0,0,0,0,0,0,0
Gm14846,0,0,0,0,0,0,0,0,0,0,0,0
Gm12628,0,0,0,0,0,0,0,0,0,0,0,0
Gm5396,0.13,0.88,0.23,0.92,0.3,1.61,0.51,0,0.15,2.97,1.22,1.74
Gm8317,0.16,0,0,0,0,0,0,0,0,0,0,0
Gm12189,0,0,0,0,0,0,0,0,0,0,0,0
Gm13451,0,0,0,0,0,0,0,0,0,0,0,0
Cyp2j15-ps,0,0,0,0,0,0,0,0,0,0,0,0
Gm14576,0,0,0,0,0,0,0,0,0,0,0,0
Gm13533,0,0,0,0,0,0,0,0,0,0,0,0
Gm6630,0,0,0,0,0,0,0,0,0,0,0,0
Gm7856,0,0,0,0.07,0,0.04,0,0.03,0,0,0,0.02
Gm12194,0,0.13,0.05,0.03,0,0.03,0.05,0.04,0.06,0.05,0.13,0.14
Gm8216,0.11,0,0,0.06,0.12,0,0.11,0,0,0.09,0,0
Gm11743,0.03,0,0,0,0,0,0,0,0,0.03,0.02,0.02
Gm14593,0,0,0,0,0,0,0,0,0,0,0,0
Rps15a-ps3,0.67,0.12,0.27,0.56,0.37,0.51,0.31,1.2,0.29,0,0.91,1.14
Vmn1r-ps128,0,0,0,0,0,0,0,0,0,0,0,0
Gm14125,0.16,0,0,0,0,0,0,0.07,0,0,0.07,0
Gm15550,0.03,0,0.03,0,0,0,0.03,0,0,0,0,0.02
Gm6733,0.31,0.26,0.37,0.26,0.61,0.34,0.88,0.18,0.37,0.3,0.53,0.5
Gm8163,0,0,0.05,0,0.06,0,0,0.04,0,0,0,0.03
Gm11599,0,0,0,0.03,0,0.04,0.06,0.05,0,0,0,0
Gm13494,0,0,0,0,0,0,0,0,0,0,0,0
Or4x6,0,0,0,0,0,0,0,0,0,0.05,0,0
Gm14986,0,0,0,0,0,0,0,0,0,0,0,0
Gm13531,0,0,0,0,0,0,0,0,0,0,0,0
Gm6141,0,0,0,0,0,0,0,0,0,0,0,0
Gm3928,0.08,0.19,0.04,0.02,0,0.02,0.04,0,0,0.07,0.06,0.02
Gm11224,0.1,0.31,0.13,0.13,0.28,0.12,0.14,0.18,0.38,0.21,0.11,0.24
Rpl17-ps4,0,0.14,0.22,0.32,0.42,0.24,0,0.1,0.16,0.06,0.29,0
Cyp4a30b,0,0,0,0,0,0,0,0,0,0,0,0
Gm14608,0,0,0.03,0.02,0.04,0.02,0,0.03,0,0,0,0
Rpl3-ps1,779.08,408.72,850.56,528.61,901.2,456.81,744.78,1096.84,908.45,488.19,746.41,588.63
Or52c1-ps1,0.06,0,0,0,0,0,0,0,0,0,0,0
Gm11352,0,0,0,0,0,0,0,0,0,0,0,0
Gm11797,0,0,0,0,0,0,0,0,0,0,0,0
Gm8202,0,0,0,0,0,0,0,0,0,0,0,0
Gm2288,0,0,0,0,0,0,0,0,0,0,0,0
Gm15313,0,0,0,0,0,0,0,0,0,0,0,0
Gm15142,0,0,0,0,0,0,0,0,0,0,0,0
Gm14113,0,0,0,0,0,0,0,0,0,0,0,0
Rps2-ps4,0,0,0,0,0,0,0,0,0,0,0,0
Gm15302,0,0,0,0,0,0,0,0,0,0,0,0
Gm12957,0,0,0,0,0,0,0,0,0,0,0,0
AA413626,0.44,0.41,0.65,0,0.34,0,0.14,0,0.17,0.12,0.11,0.25
Gm13370,905.2,927.92,884.49,812.76,1280.94,876.09,779.83,2099.08,1228.08,938.19,1221.25,942.63
Gm12251,0,0.22,0.47,0.12,0.67,0.19,0,0.35,0.17,0.26,0.41,0.14
Or1e20-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Rps15a-ps8,0,0,0,0.11,0,0,0,0,1.08,0,0,0
Gm14018,0,0,0,0,0,0,0,0,0,0,0,0
Gm12017,0.11,0,0,0.03,0,0,0,0.04,0,0,0,0
Rpl10a-ps1,323.31,245.34,303.07,322.69,508.46,239.93,259.69,713.16,423.89,192.88,446.05,350.25
